QuestionID,QuestionKey,Language,Category,CategoryCode,AffectsScore,CategoryScore,CategoryWeight,QuestionScore,QuestionCategoryWeight,CategoryLanguage,QuestionLanguage,NationalYNValue,NationalYN,Comments,DataPeriod,DataPeriodId,FileName,Country,District,PoEName,AdminLevel,AdminLevelName,FileLanguage,Table,RowNo,Question
1,coord_ph_focal_points,English,Communication and coordination,COORD,1,10,0.111111,1.6667,0.1667,Communication and coordination,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?",1,yes,,2025-Q3,1,ODK Server,Kenya,,LWAKHAKHA POE,National,Kenya,English,data,6,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?"
1,coord_ph_focal_points,English,Communication and coordination,COORD,1,10,0.111111,1.6667,0.1667,Communication and coordination,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?",1,yes,,2025-Q3,1,ODK Server,Kenya,KAJIADO,ILLASIT POINT OF ENTRY AND EXIT,National,Kenya,English,data,6,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?"
1,coord_ph_focal_points,English,Communication and coordination,COORD,1,10,0.111111,1.6667,0.1667,Communication and coordination,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?",1,yes,,2025-Q3,1,ODK Server,Kenya,KILIFI,MALINDI INTERNATIONAL AIRPORT,National,Kenya,English,data,6,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?"
1,coord_ph_focal_points,English,Communication and coordination,COORD,1,10,0.111111,1.6667,0.1667,Communication and coordination,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?",0.5,,,2025-Q3,1,ODK Server,Kenya,KISUMU,Kisumu International Airport,National,Kenya,English,data,6,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?"
1,coord_ph_focal_points,English,Communication and coordination,COORD,1,10,0.111111,1.6667,0.1667,Communication and coordination,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?",1,yes,,2025-Q3,1,ODK Server,Kenya,KWALE,Lunga Lunga OSBP,National,Kenya,English,data,6,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?"
1,coord_ph_focal_points,English,Communication and coordination,COORD,1,10,0.111111,1.6667,0.1667,Communication and coordination,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?",1,yes,,2025-Q3,1,ODK Server,Kenya,KWALE,SHIMONI,National,Kenya,English,data,6,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?"
1,coord_ph_focal_points,English,Communication and coordination,COORD,1,10,0.111111,1.6667,0.1667,Communication and coordination,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?",1,yes,,2025-Q3,1,ODK Server,Kenya,MARSABIT,Moyale OSBP,National,Kenya,English,data,6,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?"
1,coord_ph_focal_points,English,Communication and coordination,COORD,1,10,0.111111,1.6667,0.1667,Communication and coordination,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?",1,yes,,2025-Q3,1,ODK Server,Kenya,MIGORI,ISEBANIA ONE STOP BORDER POST,National,Kenya,English,data,6,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?"
1,coord_ph_focal_points,English,Communication and coordination,COORD,1,10,0.111111,1.6667,0.1667,Communication and coordination,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?",1,yes,,2025-Q3,1,ODK Server,Kenya,MOMBASA,Kilindini Sea Port,National,Kenya,English,data,6,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?"
1,coord_ph_focal_points,English,Communication and coordination,COORD,1,10,0.111111,1.6667,0.1667,Communication and coordination,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?",0.5,,,2025-Q3,1,ODK Server,Kenya,MOMBASA,MOI INTERNATIONAL AIRPORT,National,Kenya,English,data,6,"Are public health officers identified as focal points for communication and coordination on public health matters across all stakeholders within the PoE, as well as with public health authorities at local/regional/national levels?"
