QuestionID,QuestionKey,Language,Category,CategoryCode,AffectsScore,CategoryScore,CategoryWeight,QuestionScore,QuestionCategoryWeight,CategoryLanguage,QuestionLanguage,NationalYNValue,NationalYN,Comments,FileName,Country,AdminLevel,AdminLevelName,FileLanguage,Table,RowNo,Question
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,1,yes,,ODK Server,BURKINA FASO,National,BURKINA FASO,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,1,yes,,ODK Server,CAMEROON,National,CAMEROON,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,0,no,,ODK Server,CENTRAL AFRICAN REPUBLIC,National,CENTRAL AFRICAN REPUBLIC,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,1,yes,,ODK Server,CHAD,National,CHAD,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,0,no,,ODK Server,COMOROS,National,COMOROS,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,0.5,in progress,,ODK Server,COTE D'IVOIRE,National,COTE D'IVOIRE,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,0.5,in progress,,ODK Server,EQUATORIAL GUINEA,National,EQUATORIAL GUINEA,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,1,yes,,ODK Server,ERITREA,National,ERITREA,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,0,no,,ODK Server,ESWATINI,National,ESWATINI,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,0,no,,ODK Server,GUINEA-BISSAU,National,GUINEA-BISSAU,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,0,no,,ODK Server,Kenya,National,Kenya,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,1,yes,,ODK Server,LIBERIA,National,LIBERIA,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,1,yes,,ODK Server,MADAGASCAR,National,MADAGASCAR,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,0,no,,ODK Server,MALAWI,National,MALAWI,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,1,yes,,ODK Server,MALI,National,MALI,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,1,yes,,ODK Server,MAURITANIA,National,MAURITANIA,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,0.5,in progress,,ODK Server,MAURITIUS,National,MAURITIUS,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,0,no,,ODK Server,Mozambique,National,Mozambique,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,0,no,,ODK Server,NAMIBIA,National,NAMIBIA,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,0,no,,ODK Server,NIGER,National,NIGER,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,1,yes,,ODK Server,NIGERIA,National,NIGERIA,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,0,no,,ODK Server,REPUBLIC OF CONGO,National,REPUBLIC OF CONGO,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,1,yes,,ODK Server,Rwanda,National,Rwanda,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,1,yes,,ODK Server,SENEGAL,National,SENEGAL,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,1,yes,,ODK Server,SEYCHELLES,National,SEYCHELLES,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,0.5,in progress,,ODK Server,SOUTH AFRICA,National,SOUTH AFRICA,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,0,no,,ODK Server,SOUTH SUDAN,National,SOUTH SUDAN,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,0,no,,ODK Server,TANZANIA,National,TANZANIA,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,1,yes,,ODK Server,Togo,National,Togo,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
1,coord_national_taskforce,English,01 - Coordination,01 - COORD,1,10,0.111111,1.111111,0.1111,01 - Coordination,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts,0,no,,ODK Server,Uganda,National,Uganda,English,data,1,Multi-sectoral Taskforce/IMS are activated at the national and regions/counties/districts
